job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"https://glassdoor.ca/job-listing/software-engineer-intern-atpco-JV_IC2278756_KO0,24_KE25,30.htm?jl=1008972074088",glassdoor,Software Engineer Intern,ATPCO,,Vancouver,,,,,,,False,,,,
"https://glassdoor.ca/job-listing/intern-full-stack-engineer-instawork-internal-JV_IC2278756_KO0,26_KE27,45.htm?jl=1008968199291",glassdoor,"Intern, Full-Stack Engineer",Instawork Internal,,Vancouver,,,,,,,False,,,,
"https://glassdoor.ca/job-listing/software-engineer-co-op-electronic-arts-JV_IC2278756_KO0,23_KE24,39.htm?jl=1008937187023",glassdoor,Software Engineer Co-op,Electronic Arts,,Vancouver,,,yearly,100761,130989,CAD,False,,,,
"https://glassdoor.ca/job-listing/software-development-engineer-intern-2024-canada-amazon-canada-fulfillment-services-ulc-JV_IC2278756_KO0,48_KE49,87.htm?jl=1008876589365",glassdoor,Software Development Engineer Intern - 2024 (Canada),"Amazon Canada Fulfillment Services, ULC.",,Vancouver,,,,,,,False,,,,
"https://glassdoor.ca/job-listing/software-test-engineer-co-op-stryker-JV_IC2278200_KO0,28_KE29,36.htm?jl=1008962806588",glassdoor,"Software Test Engineer, Co-op",Stryker,,Burnaby,,,yearly,97473,133067,CAD,False,,,,
"https://glassdoor.ca/job-listing/software-engineering-co-ops-ea-sports-fc-8-month-co-op-electronic-arts-JV_IC2278756_KO0,54_KE55,70.htm?jl=1008941685342",glassdoor,Software Engineering Co-Ops - EA Sports FC (8 Month Co-Op),Electronic Arts,,Vancouver,,,yearly,100761,130989,CAD,False,,,,
"https://glassdoor.ca/job-listing/sap-ixp-intern-software-developer-vancouver-sap-JV_IC2278756_KO0,43_KE44,47.htm?jl=1008971503245",glassdoor,SAP iXp Intern - Software Developer [Vancouver],SAP,,Vancouver,,,,,,,False,,,,
"https://glassdoor.ca/job-listing/software-engineering-co-ops-ea-sports-ufc-8-month-co-op-electronic-arts-JV_IC2278756_KO0,55_KE56,71.htm?jl=1008941685340",glassdoor,Software Engineering Co-Ops - EA Sports UFC (8 Month Co-Op),Electronic Arts,,Vancouver,,,yearly,100761,130989,CAD,False,,,,
"https://glassdoor.ca/job-listing/software-engineering-co-ops-ea-sports-nhl-8-month-co-op-electronic-arts-JV_IC2278756_KO0,55_KE56,71.htm?jl=1008941685339",glassdoor,Software Engineering Co-Ops - EA Sports NHL (8 Month Co-Op),Electronic Arts,,Vancouver,,,yearly,100761,130989,CAD,False,,,,
"https://glassdoor.ca/job-listing/software-engineering-co-op-ea-sports-super-mega-baseball-8-month-co-op-electronic-arts-JV_IC2278756_KO0,70_KE71,86.htm?jl=1008941685341",glassdoor,Software Engineering Co-Op - EA Sports Super Mega Baseball (8 Month Co-Op),Electronic Arts,,Vancouver,,,yearly,100761,130989,CAD,False,,,,
"https://glassdoor.ca/job-listing/intern-front-end-engineer-instawork-internal-JV_IC2278756_KO0,25_KE26,44.htm?jl=1008968199172",glassdoor,"Intern, Front-End Engineer",Instawork Internal,,Vancouver,,,,,,,False,,,,
"https://glassdoor.ca/job-listing/backend-software-engineer-co-op-january-2024-kabam-JV_IC2278756_KO0,44_KE45,50.htm?jl=1008954958052",glassdoor,Backend Software Engineer (Co-Op) - January 2024,Kabam,,Vancouver,,,,,,,False,,,,
"https://glassdoor.ca/job-listing/software-engineering-machine-learning-co-op-veralto-JV_IC2278756_KO0,43_KE44,51.htm?jl=1008897797579",glassdoor,Software Engineering – Machine Learning Co-op,Veralto,,Vancouver,,,yearly,91670,130889,CAD,False,,,,
"https://glassdoor.ca/job-listing/machine-learning-engineer-nlp-business-integrity-intern-2024-summer-bs-ms-tiktok-JV_IC2278756_KO0,73_KE74,80.htm?jl=1008831769824",glassdoor,Machine Learning Engineer (NLP) - Business Integrity Intern -2024 Summer (BS/MS),TikTok,,Vancouver,,,yearly,87360,108168,CAD,False,,,,
"https://glassdoor.ca/job-listing/sap-ixp-intern-agile-developer-hana-and-analytics-vancouver-sap-JV_IC2278756_KO0,59_KE60,63.htm?jl=1008965786848",glassdoor,"SAP iXp Intern - Agile Developer, HANA and Analytics [Vancouver]",SAP,,Vancouver,,,,,,,False,,,,
"https://glassdoor.ca/job-listing/software-engineering-co-op-generac-power-systems-JV_IC2278756_KO0,26_KE27,48.htm?jl=1008916054894",glassdoor,Software Engineering Co-Op,Generac Power Systems,,Vancouver,,,yearly,53844,64700,CAD,False,,,,
"https://glassdoor.ca/job-listing/silicon-development-engineer-co-op-8-months-vancouver-advanced-micro-devices-inc-JV_IC2278756_KO0,53_KE54,80.htm?jl=1008955052477",glassdoor,"Silicon Development Engineer Co-op (8-months, Vancouver)","Advanced Micro Devices, Inc",,Vancouver,,,yearly,102570,126290,CAD,False,,,,
"https://glassdoor.ca/job-listing/sap-ixp-intern-security-engineer-sap-analytics-cloud-vancouver-sap-JV_IC2278756_KO0,62_KE63,66.htm?jl=1008937502411",glassdoor,"SAP iXp Intern - Security Engineer, SAP Analytics Cloud [Vancouver]",SAP,,Vancouver,,,,,,,False,,,,
"https://glassdoor.ca/job-listing/software-development-internship-winter-2024-activision-JV_IC2278756_KO0,43_KE44,54.htm?jl=1008876028762",glassdoor,Software Development Internship- Winter 2024,Activision,,Vancouver,,,yearly,65000,65000,CAD,False,,,,
